Connecting to host 172.31.30.63, port 8001
[  6] local 172.31.24.14 port 50554 connected to 172.31.30.63 port 8001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-0.10   sec   256 KBytes  20.9 Mbits/sec    0   87.4 KBytes       
[  6]   0.10-0.20   sec   128 KBytes  10.5 Mbits/sec    0    122 KBytes       
[  6]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.40-0.50   sec   384 KBytes  31.5 Mbits/sec    0    157 KBytes       
[  6]   0.50-0.60   sec   640 KBytes  52.3 Mbits/sec    0    315 KBytes       
[  6]   0.60-0.70   sec   768 KBytes  62.9 Mbits/sec    0    533 KBytes       
[  6]   0.70-0.80   sec   896 KBytes  73.6 Mbits/sec    0    559 KBytes       
[  6]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0    559 KBytes       
[  6]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0    586 KBytes       
[  6]   1.00-1.10   sec   896 KBytes  73.0 Mbits/sec    0    612 KBytes       
[  6]   1.10-1.20   sec  1.12 MBytes  94.9 Mbits/sec    0    647 KBytes       
[  6]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0    673 KBytes       
[  6]   1.30-1.40   sec  1.50 MBytes   126 Mbits/sec    0    708 KBytes       
[  6]   1.40-1.50   sec  0.00 Bytes  0.00 bits/sec    0    743 KBytes       
[  6]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0    743 KBytes       
[  6]   1.60-1.70   sec  1.62 MBytes   136 Mbits/sec    0    787 KBytes       
[  6]   1.70-1.80   sec  1.00 MBytes  83.9 Mbits/sec    0    821 KBytes       
[  6]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    0    865 KBytes       
[  6]   1.90-2.00   sec  1.75 MBytes   147 Mbits/sec    0    909 KBytes       
[  6]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0    944 KBytes       
[  6]   2.10-2.20   sec  1.25 MBytes   105 Mbits/sec    0    953 KBytes       
[  6]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0    996 KBytes       
[  6]   2.30-2.40   sec  1.88 MBytes   158 Mbits/sec    0   1.02 MBytes       
[  6]   2.40-2.50   sec  1.62 MBytes   137 Mbits/sec    0   1.08 MBytes       
[  6]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0   1.13 MBytes       
[  6]   2.60-2.70   sec  1.88 MBytes   157 Mbits/sec    0   1.17 MBytes       
[  6]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0   1.19 MBytes       
[  6]   2.80-2.90   sec  1.50 MBytes   126 Mbits/sec    0   1.25 MBytes       
[  6]   2.90-3.00   sec  0.00 Bytes  0.00 bits/sec    0   1.31 MBytes       
[  6]   3.00-3.10   sec  1.88 MBytes   157 Mbits/sec    0   1.37 MBytes       
[  6]   3.10-3.20   sec  1.62 MBytes   136 Mbits/sec    0   1.44 MBytes       
[  6]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    0   1.48 MBytes       
[  6]   3.30-3.40   sec  1.75 MBytes   147 Mbits/sec    0   1.51 MBytes       
[  6]   3.40-3.50   sec  1.50 MBytes   126 Mbits/sec    0   1.59 MBytes       
[  6]   3.50-3.60   sec  1.62 MBytes   136 Mbits/sec    0   1.66 MBytes       
[  6]   3.60-3.70   sec  1.62 MBytes   136 Mbits/sec    0   1.75 MBytes       
[  6]   3.70-3.80   sec  1.88 MBytes   157 Mbits/sec    0   1.83 MBytes       
[  6]   3.80-3.90   sec  1.38 MBytes   115 Mbits/sec    0   1.93 MBytes       
[  6]   3.90-4.00   sec  0.00 Bytes  0.00 bits/sec    0   1.96 MBytes       
[  6]   4.00-4.10   sec  2.25 MBytes   189 Mbits/sec    0   2.06 MBytes       
[  6]   4.10-4.20   sec  1.50 MBytes   126 Mbits/sec    0   2.14 MBytes       
[  6]   4.20-4.30   sec  2.62 MBytes   220 Mbits/sec    0   2.24 MBytes       
[  6]   4.30-4.40   sec  1.75 MBytes   146 Mbits/sec    0   2.35 MBytes       
[  6]   4.40-4.50   sec  1.38 MBytes   116 Mbits/sec    0   2.43 MBytes       
[  6]   4.50-4.60   sec  1.50 MBytes   126 Mbits/sec    0   2.52 MBytes       
[  6]   4.60-4.70   sec  3.38 MBytes   283 Mbits/sec    0   2.64 MBytes       
[  6]   4.70-4.80   sec  1.75 MBytes   147 Mbits/sec    0   2.77 MBytes       
[  6]   4.80-4.90   sec  3.25 MBytes   272 Mbits/sec    0   2.88 MBytes       
[  6]   4.90-5.00   sec  1.50 MBytes   126 Mbits/sec    0   2.99 MBytes       
[  6]   5.00-5.10   sec  2.88 MBytes   241 Mbits/sec    0   3.11 MBytes       
[  6]   5.10-5.20   sec  1.62 MBytes   136 Mbits/sec    0   3.14 MBytes       
[  6]   5.20-5.30   sec  3.38 MBytes   283 Mbits/sec    0   3.14 MBytes       
[  6]   5.30-5.40   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   5.40-5.50   sec  1.38 MBytes   115 Mbits/sec    0   3.14 MBytes       
[  6]   5.50-5.60   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   5.60-5.70   sec  1.38 MBytes   115 Mbits/sec    0   3.14 MBytes       
[  6]   5.70-5.80   sec  3.00 MBytes   251 Mbits/sec    0   3.14 MBytes       
[  6]   5.80-5.90   sec  3.12 MBytes   263 Mbits/sec    0   3.14 MBytes       
[  6]   5.90-6.00   sec  3.25 MBytes   272 Mbits/sec    0   3.14 MBytes       
[  6]   6.00-6.10   sec  1.88 MBytes   158 Mbits/sec    0   3.14 MBytes       
[  6]   6.10-6.20   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.20-6.30   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.30-6.40   sec  2.25 MBytes   189 Mbits/sec    0   3.14 MBytes       
[  6]   6.40-6.50   sec  2.88 MBytes   241 Mbits/sec    0   3.14 MBytes       
[  6]   6.50-6.60   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.60-6.70   sec  1.62 MBytes   136 Mbits/sec    0   3.14 MBytes       
[  6]   6.70-6.80   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.80-6.90   sec   256 KBytes  20.9 Mbits/sec    0   3.14 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-6.90   sec   100 MBytes   122 Mbits/sec    0             sender
[  6]   0.00-7.00   sec  99.9 MBytes   120 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:57:08 RTT: 119.988ms RTTVar: 0.005ms CWND: 67 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 103.371ms RTTVar: 0.896ms CWND: 70 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 118.729ms RTTVar: 9.401ms CWND: 74 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 116.953ms RTTVar: 5.019ms CWND: 77 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 118.427ms RTTVar: 1.09ms CWND: 81 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 119.934ms RTTVar: 0.194ms CWND: 85 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 120.062ms RTTVar: 0.013ms CWND: 90 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:08 RTT: 122.488ms RTTVar: 4.949ms CWND: 94 SSTHRESH: 61
2024-12-10 03:57:08 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:08 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 120.289ms RTTVar: 0.429ms CWND: 98 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 120.02ms RTTVar: 0.2ms CWND: 103 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 120.492ms RTTVar: 0.733ms CWND: 108 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 124.406ms RTTVar: 7.451ms CWND: 109 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 120.203ms RTTVar: 0.411ms CWND: 114 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 121.709ms RTTVar: 3.328ms CWND: 120 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 121.393ms RTTVar: 2.479ms CWND: 126 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 108.119ms RTTVar: 2.856ms CWND: 132 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:09 RTT: 133.542ms RTTVar: 7.226ms CWND: 139 SSTHRESH: 61
2024-12-10 03:57:09 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:10 RTT: 123.002ms RTTVar: 5.142ms CWND: 146 SSTHRESH: 61
2024-12-10 03:57:10 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:10 RTT: 121.047ms RTTVar: 1.376ms CWND: 153 SSTHRESH: 61
2024-12-10 03:57:10 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:10 RTT: 109.2ms RTTVar: 11.41ms CWND: 161 SSTHRESH: 61
2024-12-10 03:57:10 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:57:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:57:10 RTT: 120ms RTTVar: 0.214ms CWND: 169 SSTHRESH: 61
2024-12-10 03:57:10 RTT: 100.578ms RTTVar: 28.419ms CWND: 10 SSTHRESH: 56587
