Connecting to host 172.31.30.63, port 8001
[  6] local 172.31.24.14 port 50584 connected to 172.31.30.63 port 8001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-0.10   sec   256 KBytes  20.9 Mbits/sec    0   87.4 KBytes       
[  6]   0.10-0.20   sec   128 KBytes  10.5 Mbits/sec    0    122 KBytes       
[  6]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.40-0.50   sec   384 KBytes  31.4 Mbits/sec    0    157 KBytes       
[  6]   0.50-0.60   sec   640 KBytes  52.4 Mbits/sec    0    315 KBytes       
[  6]   0.60-0.70   sec   768 KBytes  62.7 Mbits/sec    0    472 KBytes       
[  6]   0.70-0.80   sec   896 KBytes  73.7 Mbits/sec    0    673 KBytes       
[  6]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0    699 KBytes       
[  6]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0    699 KBytes       
[  6]   1.00-1.10   sec  1.50 MBytes   126 Mbits/sec    0    734 KBytes       
[  6]   1.10-1.20   sec  1.00 MBytes  83.9 Mbits/sec    0    778 KBytes       
[  6]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0    813 KBytes       
[  6]   1.30-1.40   sec  1.62 MBytes   136 Mbits/sec    0    856 KBytes       
[  6]   1.40-1.50   sec  0.00 Bytes  0.00 bits/sec    0    891 KBytes       
[  6]   1.50-1.60   sec  1.12 MBytes  94.4 Mbits/sec    0    900 KBytes       
[  6]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    0    944 KBytes       
[  6]   1.70-1.80   sec  1.38 MBytes   115 Mbits/sec    0    988 KBytes       
[  6]   1.80-1.90   sec  1.62 MBytes   136 Mbits/sec    0   1.02 MBytes       
[  6]   1.90-2.00   sec  1.50 MBytes   126 Mbits/sec    0   1.07 MBytes       
[  6]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0   1.10 MBytes       
[  6]   2.10-2.20   sec  1.88 MBytes   158 Mbits/sec    0   1.16 MBytes       
[  6]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0   1.18 MBytes       
[  6]   2.30-2.40   sec  1.50 MBytes   126 Mbits/sec    0   1.23 MBytes       
[  6]   2.40-2.50   sec  0.00 Bytes  0.00 bits/sec    0   1.30 MBytes       
[  6]   2.50-2.60   sec  2.00 MBytes   169 Mbits/sec    0   1.36 MBytes       
[  6]   2.60-2.70   sec  1.88 MBytes   157 Mbits/sec    0   1.43 MBytes       
[  6]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0   1.47 MBytes       
[  6]   2.80-2.90   sec  1.38 MBytes   115 Mbits/sec    0   1.50 MBytes       
[  6]   2.90-3.00   sec  1.50 MBytes   126 Mbits/sec    0   1.57 MBytes       
[  6]   3.00-3.10   sec  1.38 MBytes   115 Mbits/sec    0   1.66 MBytes       
[  6]   3.10-3.20   sec  1.88 MBytes   157 Mbits/sec    0   1.73 MBytes       
[  6]   3.20-3.30   sec  1.50 MBytes   126 Mbits/sec    0   1.81 MBytes       
[  6]   3.30-3.40   sec  0.00 Bytes  0.00 bits/sec    0   1.86 MBytes       
[  6]   3.40-3.50   sec  1.62 MBytes   136 Mbits/sec    0   1.95 MBytes       
[  6]   3.50-3.60   sec  2.12 MBytes   178 Mbits/sec    0   2.01 MBytes       
[  6]   3.60-3.70   sec  1.75 MBytes   147 Mbits/sec    0   2.11 MBytes       
[  6]   3.70-3.80   sec  2.00 MBytes   168 Mbits/sec    0   2.21 MBytes       
[  6]   3.80-3.90   sec  1.38 MBytes   115 Mbits/sec    0   2.30 MBytes       
[  6]   3.90-4.00   sec  1.38 MBytes   115 Mbits/sec    0   2.37 MBytes       
[  6]   4.00-4.10   sec  1.75 MBytes   147 Mbits/sec    0   2.47 MBytes       
[  6]   4.10-4.20   sec  3.00 MBytes   252 Mbits/sec    0   2.56 MBytes       
[  6]   4.20-4.30   sec  1.75 MBytes   147 Mbits/sec    0   2.69 MBytes       
[  6]   4.30-4.40   sec  3.38 MBytes   283 Mbits/sec    0   2.82 MBytes       
[  6]   4.40-4.50   sec  2.12 MBytes   178 Mbits/sec    0   2.92 MBytes       
[  6]   4.50-4.60   sec  1.62 MBytes   136 Mbits/sec    0   3.06 MBytes       
[  6]   4.60-4.70   sec  2.00 MBytes   168 Mbits/sec    0   3.15 MBytes       
[  6]   4.70-4.80   sec  1.75 MBytes   147 Mbits/sec    0   3.19 MBytes       
[  6]   4.80-4.90   sec  3.75 MBytes   314 Mbits/sec    0   3.19 MBytes       
[  6]   4.90-5.00   sec  2.12 MBytes   178 Mbits/sec    0   3.19 MBytes       
[  6]   5.00-5.10   sec  1.75 MBytes   147 Mbits/sec    0   3.19 MBytes       
[  6]   5.10-5.20   sec  3.88 MBytes   325 Mbits/sec    0   3.19 MBytes       
[  6]   5.20-5.30   sec  2.00 MBytes   168 Mbits/sec    0   3.19 MBytes       
[  6]   5.30-5.40   sec  1.75 MBytes   147 Mbits/sec    0   3.19 MBytes       
[  6]   5.40-5.50   sec  2.00 MBytes   168 Mbits/sec    0   3.19 MBytes       
[  6]   5.50-5.60   sec  3.25 MBytes   271 Mbits/sec    0   3.19 MBytes       
[  6]   5.60-5.70   sec  3.62 MBytes   306 Mbits/sec    0   3.19 MBytes       
[  6]   5.70-5.80   sec  1.75 MBytes   147 Mbits/sec    0   3.19 MBytes       
[  6]   5.80-5.90   sec  2.38 MBytes   199 Mbits/sec    0   3.19 MBytes       
[  6]   5.90-6.00   sec  1.38 MBytes   116 Mbits/sec    0   3.19 MBytes       
[  6]   6.00-6.10   sec  1.88 MBytes   157 Mbits/sec    0   3.19 MBytes       
[  6]   6.10-6.20   sec  3.75 MBytes   315 Mbits/sec    0   3.19 MBytes       
[  6]   6.20-6.30   sec  2.88 MBytes   241 Mbits/sec    0   3.19 MBytes       
[  6]   6.30-6.40   sec  3.12 MBytes   261 Mbits/sec    0   3.19 MBytes       
[  6]   6.40-6.50   sec  1.62 MBytes   137 Mbits/sec    0   3.19 MBytes       
[  6]   6.50-6.60   sec  1.50 MBytes   126 Mbits/sec    0   3.19 MBytes       
[  6]   6.60-6.70   sec   384 KBytes  31.5 Mbits/sec    0   3.19 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-6.70   sec   100 MBytes   125 Mbits/sec    0             sender
[  6]   0.00-6.80   sec   100 MBytes   123 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 125.145ms RTTVar: 8.415ms CWND: 129 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 115.964ms RTTVar: 2.72ms CWND: 136 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 122.517ms RTTVar: 4.969ms CWND: 142 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 120.159ms RTTVar: 0.089ms CWND: 149 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 119.899ms RTTVar: 0.005ms CWND: 156 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 107.599ms RTTVar: 7.685ms CWND: 159 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 118.917ms RTTVar: 1.51ms CWND: 167 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:35 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:35 RTT: 126.098ms RTTVar: 12.348ms CWND: 176 SSTHRESH: 77
2024-12-10 03:58:35 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 117.711ms RTTVar: 0.948ms CWND: 184 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 123.014ms RTTVar: 8.231ms CWND: 194 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 118.293ms RTTVar: 1.288ms CWND: 203 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 136.144ms RTTVar: 5.04ms CWND: 213 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 120.633ms RTTVar: 1.691ms CWND: 224 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 119.227ms RTTVar: 1.196ms CWND: 235 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 106.312ms RTTVar: 3.116ms CWND: 247 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 134.754ms RTTVar: 4.015ms CWND: 259 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:36 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:36 RTT: 119.723ms RTTVar: 0.034ms CWND: 270 SSTHRESH: 77
2024-12-10 03:58:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 104.574ms RTTVar: 0.619ms CWND: 286 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 120.201ms RTTVar: 0.227ms CWND: 296 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 121.328ms RTTVar: 3.315ms CWND: 306 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
