Connecting to host 172.31.30.63, port 8001
[  6] local 172.31.24.14 port 43510 connected to 172.31.30.63 port 8001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-0.10   sec   384 KBytes  31.4 Mbits/sec    0   96.1 KBytes       
[  6]   0.10-0.20   sec   384 KBytes  31.5 Mbits/sec    0    157 KBytes       
[  6]   0.20-0.30   sec   384 KBytes  31.5 Mbits/sec    0    218 KBytes       
[  6]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0    245 KBytes       
[  6]   0.40-0.50   sec   640 KBytes  52.4 Mbits/sec    0    297 KBytes       
[  6]   0.50-0.60   sec   768 KBytes  62.8 Mbits/sec    0    533 KBytes       
[  6]   0.60-0.70   sec  1.25 MBytes   105 Mbits/sec    0    918 KBytes       
[  6]   0.70-0.80   sec  1.38 MBytes   115 Mbits/sec    0   1.66 MBytes       
[  6]   0.80-0.90   sec  1.25 MBytes   105 Mbits/sec    0   3.23 MBytes       
[  6]   0.90-1.00   sec  2.75 MBytes   231 Mbits/sec    0   6.21 MBytes       
[  6]   1.00-1.10   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.10-1.20   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.20-1.30   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.30-1.40   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.40-1.50   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.50-1.60   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.60-1.70   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.70-1.80   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.80-1.90   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   1.90-2.00   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   2.00-2.10   sec  2.75 MBytes   230 Mbits/sec    0   8.86 MBytes       
[  6]   2.10-2.20   sec  2.88 MBytes   241 Mbits/sec    0   8.86 MBytes       
[  6]   2.20-2.30   sec  1.38 MBytes   115 Mbits/sec    0   8.86 MBytes       
[  6]   2.30-2.40   sec  2.75 MBytes   231 Mbits/sec    0   8.86 MBytes       
[  6]   2.40-2.50   sec  2.75 MBytes   231 Mbits/sec    0   6.61 MBytes       
[  6]   2.50-2.60   sec  2.75 MBytes   231 Mbits/sec    0   6.62 MBytes       
[  6]   2.60-2.70   sec  2.62 MBytes   220 Mbits/sec    0   6.62 MBytes       
[  6]   2.70-2.80   sec  2.62 MBytes   220 Mbits/sec    0   6.62 MBytes       
[  6]   2.80-2.90   sec  2.75 MBytes   231 Mbits/sec    0   6.62 MBytes       
[  6]   2.90-3.00   sec  2.62 MBytes   220 Mbits/sec    0   6.64 MBytes       
[  6]   3.00-3.10   sec  2.75 MBytes   231 Mbits/sec    0   6.64 MBytes       
[  6]   3.10-3.20   sec  2.75 MBytes   231 Mbits/sec    0   6.74 MBytes       
[  6]   3.20-3.30   sec  1.25 MBytes   105 Mbits/sec    0   6.74 MBytes       
[  6]   3.30-3.40   sec  2.75 MBytes   231 Mbits/sec    0   6.74 MBytes       
[  6]   3.40-3.50   sec  2.62 MBytes   220 Mbits/sec    0   6.74 MBytes       
[  6]   3.50-3.60   sec  2.62 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  6]   3.60-3.70   sec  2.75 MBytes   231 Mbits/sec    0   6.04 MBytes       
[  6]   3.70-3.80   sec  2.75 MBytes   231 Mbits/sec    0   6.04 MBytes       
[  6]   3.80-3.90   sec  2.62 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  6]   3.90-4.00   sec  2.62 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  6]   4.00-4.10   sec  2.75 MBytes   230 Mbits/sec    0   6.04 MBytes       
[  6]   4.10-4.20   sec  2.62 MBytes   220 Mbits/sec    0   6.04 MBytes       
[  6]   4.20-4.30   sec  2.62 MBytes   220 Mbits/sec    0   5.85 MBytes       
[  6]   4.30-4.40   sec  2.75 MBytes   231 Mbits/sec    0   5.85 MBytes       
[  6]   4.40-4.50   sec  1.25 MBytes   105 Mbits/sec    0   5.85 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-4.50   sec   100 MBytes   186 Mbits/sec    0             sender
[  6]   0.00-4.60   sec   100 MBytes   182 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:54:23 RTT: 100.611ms RTTVar: 0.449ms CWND: 1038 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.608ms RTTVar: 0.28ms CWND: 1038 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.427ms RTTVar: 0.129ms CWND: 760 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.517ms RTTVar: 0.107ms CWND: 776 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.651ms RTTVar: 0.238ms CWND: 776 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.584ms RTTVar: 0.156ms CWND: 776 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.701ms RTTVar: 0.153ms CWND: 776 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:23 RTT: 100.65ms RTTVar: 0.1ms CWND: 778 SSTHRESH: 340
2024-12-10 03:54:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:23 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.551ms RTTVar: 0.308ms CWND: 790 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.489ms RTTVar: 0.126ms CWND: 790 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.482ms RTTVar: 0.12ms CWND: 790 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.623ms RTTVar: 0.184ms CWND: 790 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.454ms RTTVar: 0.197ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.515ms RTTVar: 0.208ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
