Connecting to host 172.31.30.63, port 8001
[  6] local 172.31.24.14 port 56326 connected to 172.31.30.63 port 8001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-0.10   sec   256 KBytes  20.9 Mbits/sec    0   87.4 KBytes       
[  6]   0.10-0.20   sec   128 KBytes  10.5 Mbits/sec    0    122 KBytes       
[  6]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  6]   0.40-0.50   sec   384 KBytes  31.5 Mbits/sec    0    192 KBytes       
[  6]   0.50-0.60   sec  1.00 MBytes  83.9 Mbits/sec    0    385 KBytes       
[  6]   0.60-0.70   sec   768 KBytes  62.9 Mbits/sec    0    612 KBytes       
[  6]   0.70-0.80   sec  1.00 MBytes  83.9 Mbits/sec    0    673 KBytes       
[  6]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0    673 KBytes       
[  6]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0    708 KBytes       
[  6]   1.00-1.10   sec  1.50 MBytes   126 Mbits/sec    0    743 KBytes       
[  6]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    0    778 KBytes       
[  6]   1.20-1.30   sec  1.62 MBytes   136 Mbits/sec    0    813 KBytes       
[  6]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0    856 KBytes       
[  6]   1.40-1.50   sec  1.88 MBytes   158 Mbits/sec    0    891 KBytes       
[  6]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0    900 KBytes       
[  6]   1.60-1.70   sec  1.25 MBytes   105 Mbits/sec    0    944 KBytes       
[  6]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    0    996 KBytes       
[  6]   1.80-1.90   sec  1.75 MBytes   147 Mbits/sec    0   1.02 MBytes       
[  6]   1.90-2.00   sec  1.50 MBytes   126 Mbits/sec    0   1.07 MBytes       
[  6]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0   1.12 MBytes       
[  6]   2.10-2.20   sec  0.00 Bytes  0.00 bits/sec    0   1.12 MBytes       
[  6]   2.20-2.30   sec  2.12 MBytes   178 Mbits/sec    0   1.18 MBytes       
[  6]   2.30-2.40   sec  1.38 MBytes   115 Mbits/sec    0   1.24 MBytes       
[  6]   2.40-2.50   sec  0.00 Bytes  0.00 bits/sec    0   1.30 MBytes       
[  6]   2.50-2.60   sec  2.25 MBytes   188 Mbits/sec    0   1.37 MBytes       
[  6]   2.60-2.70   sec  0.00 Bytes  0.00 bits/sec    0   1.40 MBytes       
[  6]   2.70-2.80   sec  1.62 MBytes   136 Mbits/sec    0   1.43 MBytes       
[  6]   2.80-2.90   sec  1.50 MBytes   126 Mbits/sec    0   1.50 MBytes       
[  6]   2.90-3.00   sec  1.50 MBytes   125 Mbits/sec    0   1.58 MBytes       
[  6]   3.00-3.10   sec  1.50 MBytes   126 Mbits/sec    0   1.66 MBytes       
[  6]   3.10-3.20   sec  1.50 MBytes   126 Mbits/sec    0   1.73 MBytes       
[  6]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    0   1.78 MBytes       
[  6]   3.30-3.40   sec  1.62 MBytes   136 Mbits/sec    0   1.83 MBytes       
[  6]   3.40-3.50   sec  1.75 MBytes   147 Mbits/sec    0   1.92 MBytes       
[  6]   3.50-3.60   sec  1.25 MBytes   105 Mbits/sec    0   2.01 MBytes       
[  6]   3.60-3.70   sec  2.00 MBytes   168 Mbits/sec    0   2.12 MBytes       
[  6]   3.70-3.80   sec  1.75 MBytes   147 Mbits/sec    0   2.18 MBytes       
[  6]   3.80-3.90   sec  1.38 MBytes   115 Mbits/sec    0   2.27 MBytes       
[  6]   3.90-4.00   sec  1.75 MBytes   147 Mbits/sec    0   2.33 MBytes       
[  6]   4.00-4.10   sec  2.12 MBytes   178 Mbits/sec    0   2.45 MBytes       
[  6]   4.10-4.20   sec  2.75 MBytes   231 Mbits/sec    0   2.57 MBytes       
[  6]   4.20-4.30   sec  2.00 MBytes   168 Mbits/sec    0   2.68 MBytes       
[  6]   4.30-4.40   sec  1.62 MBytes   136 Mbits/sec    0   2.79 MBytes       
[  6]   4.40-4.50   sec  3.00 MBytes   252 Mbits/sec    0   2.88 MBytes       
[  6]   4.50-4.60   sec  1.38 MBytes   115 Mbits/sec    0   2.98 MBytes       
[  6]   4.60-4.70   sec  2.88 MBytes   241 Mbits/sec    0   3.12 MBytes       
[  6]   4.70-4.80   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   4.80-4.90   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   4.90-5.00   sec  1.38 MBytes   115 Mbits/sec    0   3.14 MBytes       
[  6]   5.00-5.10   sec  3.00 MBytes   251 Mbits/sec    0   3.14 MBytes       
[  6]   5.10-5.20   sec  1.75 MBytes   147 Mbits/sec    0   3.14 MBytes       
[  6]   5.20-5.30   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   5.30-5.40   sec  3.38 MBytes   283 Mbits/sec    0   3.14 MBytes       
[  6]   5.40-5.50   sec  1.50 MBytes   126 Mbits/sec    0   3.14 MBytes       
[  6]   5.50-5.60   sec  2.62 MBytes   220 Mbits/sec    0   3.14 MBytes       
[  6]   5.60-5.70   sec  1.62 MBytes   136 Mbits/sec    0   3.14 MBytes       
[  6]   5.70-5.80   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   5.80-5.90   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   5.90-6.00   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.00-6.10   sec  1.38 MBytes   115 Mbits/sec    0   3.14 MBytes       
[  6]   6.10-6.20   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.20-6.30   sec  3.00 MBytes   252 Mbits/sec    0   3.14 MBytes       
[  6]   6.30-6.40   sec  1.50 MBytes   126 Mbits/sec    0   3.14 MBytes       
[  6]   6.40-6.50   sec  3.00 MBytes   251 Mbits/sec    0   3.14 MBytes       
[  6]   6.50-6.60   sec  1.25 MBytes   105 Mbits/sec    0   3.14 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-6.60   sec   100 MBytes   127 Mbits/sec    0             sender
[  6]   0.00-6.70   sec  99.9 MBytes   125 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 117.759ms RTTVar: 1.642ms CWND: 125 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 119.587ms RTTVar: 1.188ms CWND: 131 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 123.426ms RTTVar: 6.565ms CWND: 138 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 121.79ms RTTVar: 3.015ms CWND: 145 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 119.929ms RTTVar: 0.495ms CWND: 149 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 117.98ms RTTVar: 0.71ms CWND: 157 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 119.935ms RTTVar: 0.01ms CWND: 164 SSTHRESH: 75
2024-12-10 03:46:15 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:15 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:15 RTT: 120.119ms RTTVar: 0.109ms CWND: 172 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 120.643ms RTTVar: 0.327ms CWND: 176 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 119.695ms RTTVar: 0.197ms CWND: 185 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 128.31ms RTTVar: 14.803ms CWND: 194 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 119.719ms RTTVar: 5.147ms CWND: 204 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 125.014ms RTTVar: 11.741ms CWND: 214 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 119.244ms RTTVar: 4.062ms CWND: 225 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 116.254ms RTTVar: 3.321ms CWND: 236 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 122.692ms RTTVar: 4.857ms CWND: 248 SSTHRESH: 75
2024-12-10 03:46:16 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:16 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:16 RTT: 120.243ms RTTVar: 0.123ms CWND: 260 SSTHRESH: 75
2024-12-10 03:46:17 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:17 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:17 RTT: 119.734ms RTTVar: 0.233ms CWND: 273 SSTHRESH: 75
2024-12-10 03:46:17 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:17 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:17 RTT: 123.134ms RTTVar: 5.109ms CWND: 286 SSTHRESH: 75
2024-12-10 03:46:17 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:17 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
