Connecting to host 172.31.24.14, port 8002
[  5] local 172.31.27.71 port 38808 connected to 172.31.24.14 port 8002
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  9.12 MBytes  76.5 Mbits/sec    0   5.74 MBytes       
[  5]   1.00-2.00   sec  27.6 MBytes   232 Mbits/sec    0   8.86 MBytes       
[  5]   2.00-3.00   sec  26.1 MBytes   219 Mbits/sec    0   6.83 MBytes       
[  5]   3.00-4.00   sec  25.6 MBytes   215 Mbits/sec    0   5.92 MBytes       
[  5]   4.00-5.00   sec  25.5 MBytes   214 Mbits/sec    0   5.84 MBytes       
[  5]   5.00-6.00   sec  25.5 MBytes   214 Mbits/sec    0   5.82 MBytes       
[  5]   6.00-7.00   sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]   7.00-8.00   sec  25.4 MBytes   213 Mbits/sec    0   5.82 MBytes       
[  5]   8.00-9.00   sec  25.6 MBytes   215 Mbits/sec    0   5.97 MBytes       
[  5]   9.00-10.00  sec  25.8 MBytes   216 Mbits/sec    0   6.37 MBytes       
[  5]  10.00-11.00  sec  25.5 MBytes   214 Mbits/sec    0   5.82 MBytes       
[  5]  11.00-12.00  sec  25.5 MBytes   214 Mbits/sec    0   5.65 MBytes       
[  5]  12.00-13.00  sec  25.4 MBytes   213 Mbits/sec    0   5.62 MBytes       
[  5]  13.00-14.00  sec  18.8 MBytes   157 Mbits/sec    0   35.0 KBytes       
[  5]  14.00-15.00  sec  22.9 MBytes   192 Mbits/sec    0   6.09 MBytes       
[  5]  15.00-16.00  sec  25.2 MBytes   212 Mbits/sec    0   5.68 MBytes       
[  5]  16.00-17.00  sec  25.6 MBytes   215 Mbits/sec    0   5.92 MBytes       
[  5]  17.00-18.00  sec  25.4 MBytes   213 Mbits/sec    0   5.70 MBytes       
[  5]  18.00-19.00  sec  25.2 MBytes   212 Mbits/sec    0   5.63 MBytes       
[  5]  19.00-20.00  sec  25.5 MBytes   214 Mbits/sec    0   5.72 MBytes       
[  5]  20.00-21.00  sec  25.5 MBytes   214 Mbits/sec    0   5.89 MBytes       
[  5]  21.00-22.00  sec  25.2 MBytes   212 Mbits/sec    0   5.85 MBytes       
[  5]  22.00-23.00  sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]  23.00-24.00  sec  25.5 MBytes   214 Mbits/sec    0   5.89 MBytes       
[  5]  24.00-25.00  sec  25.4 MBytes   213 Mbits/sec    0   5.91 MBytes       
[  5]  25.00-26.00  sec  26.8 MBytes   224 Mbits/sec    0   5.84 MBytes       
[  5]  26.00-27.00  sec  24.1 MBytes   202 Mbits/sec    0   5.79 MBytes       
[  5]  27.00-28.00  sec  26.8 MBytes   225 Mbits/sec    0   5.82 MBytes       
[  5]  28.00-29.00  sec  20.1 MBytes   169 Mbits/sec    0   35.0 KBytes       
[  5]  29.00-30.00  sec  22.8 MBytes   191 Mbits/sec    0   5.92 MBytes       
[  5]  30.00-31.00  sec  25.5 MBytes   214 Mbits/sec    0   5.72 MBytes       
[  5]  31.00-32.00  sec  25.4 MBytes   213 Mbits/sec    0   5.67 MBytes       
[  5]  32.00-33.00  sec  25.5 MBytes   214 Mbits/sec    0   5.72 MBytes       
[  5]  33.00-34.00  sec  25.4 MBytes   213 Mbits/sec    0   5.89 MBytes       
[  5]  34.00-35.00  sec  25.4 MBytes   213 Mbits/sec    0   5.84 MBytes       
[  5]  35.00-36.00  sec  25.4 MBytes   213 Mbits/sec    0   5.89 MBytes       
[  5]  36.00-37.00  sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]  37.00-38.00  sec  25.6 MBytes   215 Mbits/sec    0   5.92 MBytes       
[  5]  38.00-39.00  sec  25.4 MBytes   213 Mbits/sec    0   5.89 MBytes       
[  5]  39.00-40.00  sec  18.8 MBytes   157 Mbits/sec    0   5.94 MBytes       
[  5]  40.00-41.00  sec  26.1 MBytes   219 Mbits/sec    0   6.54 MBytes       
[  5]  41.00-42.00  sec  16.1 MBytes   135 Mbits/sec    0   5.99 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-42.00  sec  1.00 GBytes   205 Mbits/sec    0             sender
[  5]   0.00-42.10  sec  1.00 GBytes   204 Mbits/sec                  receiver

iperf Done.
