Connecting to host 172.31.24.14, port 8002
[  5] local 172.31.27.71 port 42706 connected to 172.31.24.14 port 8002
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  9.25 MBytes  77.5 Mbits/sec    0   5.79 MBytes       
[  5]   1.00-2.00   sec  25.9 MBytes   217 Mbits/sec    0   6.18 MBytes       
[  5]   2.00-3.00   sec  25.6 MBytes   215 Mbits/sec    0   6.18 MBytes       
[  5]   3.00-4.00   sec  25.4 MBytes   213 Mbits/sec    0   5.91 MBytes       
[  5]   4.00-5.00   sec  25.2 MBytes   212 Mbits/sec    0   5.82 MBytes       
[  5]   5.00-6.00   sec  25.6 MBytes   215 Mbits/sec    0   5.87 MBytes       
[  5]   6.00-7.00   sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]   7.00-8.00   sec  25.5 MBytes   214 Mbits/sec    0   5.84 MBytes       
[  5]   8.00-9.00   sec  25.5 MBytes   214 Mbits/sec    0   5.84 MBytes       
[  5]   9.00-10.00  sec  25.5 MBytes   214 Mbits/sec    0   5.87 MBytes       
[  5]  10.00-11.00  sec  25.4 MBytes   213 Mbits/sec    0   5.91 MBytes       
[  5]  11.00-12.00  sec  25.6 MBytes   215 Mbits/sec    0   5.91 MBytes       
[  5]  12.00-13.00  sec  25.4 MBytes   213 Mbits/sec    0   5.84 MBytes       
[  5]  13.00-14.00  sec  25.5 MBytes   214 Mbits/sec    0   5.91 MBytes       
[  5]  14.00-15.00  sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]  15.00-16.00  sec  24.1 MBytes   202 Mbits/sec    3   2.52 MBytes       
[  5]  16.00-17.00  sec  25.0 MBytes   210 Mbits/sec    0   5.84 MBytes       
[  5]  17.00-18.00  sec  25.5 MBytes   214 Mbits/sec    0   5.72 MBytes       
[  5]  18.00-19.00  sec  23.8 MBytes   199 Mbits/sec    1   5.79 MBytes       
[  5]  19.00-20.00  sec  25.5 MBytes   214 Mbits/sec    0   5.97 MBytes       
[  5]  20.00-21.00  sec  25.6 MBytes   215 Mbits/sec    0   5.89 MBytes       
[  5]  21.00-22.00  sec  25.4 MBytes   213 Mbits/sec    0   5.72 MBytes       
[  5]  22.00-23.00  sec  25.4 MBytes   213 Mbits/sec    0   5.84 MBytes       
[  5]  23.00-24.00  sec  23.2 MBytes   195 Mbits/sec    3   5.70 MBytes       
[  5]  24.00-25.00  sec  25.4 MBytes   213 Mbits/sec    0   5.94 MBytes       
[  5]  25.00-26.00  sec  25.4 MBytes   213 Mbits/sec    0   5.63 MBytes       
[  5]  26.00-27.00  sec  25.4 MBytes   213 Mbits/sec    0   5.60 MBytes       
[  5]  27.00-28.00  sec  25.5 MBytes   214 Mbits/sec    0   5.62 MBytes       
[  5]  28.00-29.00  sec  24.1 MBytes   202 Mbits/sec    0   35.0 KBytes       
[  5]  29.00-30.00  sec  20.0 MBytes   168 Mbits/sec    0   5.91 MBytes       
[  5]  30.00-31.00  sec  25.4 MBytes   213 Mbits/sec    0   5.62 MBytes       
[  5]  31.00-32.00  sec  25.2 MBytes   212 Mbits/sec    0   5.63 MBytes       
[  5]  32.00-33.00  sec  25.5 MBytes   214 Mbits/sec    0   5.77 MBytes       
[  5]  33.00-34.00  sec  25.2 MBytes   212 Mbits/sec    0   5.91 MBytes       
[  5]  34.00-35.00  sec  25.4 MBytes   213 Mbits/sec    0   5.80 MBytes       
[  5]  35.00-36.00  sec  25.6 MBytes   215 Mbits/sec    0   5.85 MBytes       
[  5]  36.00-37.00  sec  25.4 MBytes   213 Mbits/sec    0   6.09 MBytes       
[  5]  37.00-38.00  sec  25.4 MBytes   213 Mbits/sec    0   5.87 MBytes       
[  5]  38.00-39.00  sec  25.5 MBytes   214 Mbits/sec    0   5.89 MBytes       
[  5]  39.00-40.00  sec  25.4 MBytes   213 Mbits/sec    0   5.89 MBytes       
[  5]  40.00-41.00  sec  23.8 MBytes   199 Mbits/sec    3   5.74 MBytes       
[  5]  41.00-42.00  sec  10.9 MBytes  91.2 Mbits/sec    0   5.87 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-42.00  sec  1.00 GBytes   205 Mbits/sec   10             sender
[  5]   0.00-42.10  sec  1.00 GBytes   204 Mbits/sec                  receiver

iperf Done.
