[out#0/mpegts @ 0x1e221000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 

2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 113.767ms RTTVar: 17.592ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 115.179ms RTTVar: 17.582ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 113.694ms RTTVar: 13.913ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 117.009ms RTTVar: 15.361ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 113.627ms RTTVar: 15.344ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 116.657ms RTTVar: 20.03ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:09 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:09 RTT: 115.844ms RTTVar: 13.723ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:10 RTT: 111.081ms RTTVar: 10.513ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:10 RTT: 109.903ms RTTVar: 7.64ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:10 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
