[out#0/mpegts @ 0x4233f000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.999x

2024-12-10 05:02:37 RTT: 100.885ms RTTVar: 0.194ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 100.972ms RTTVar: 0.468ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 100.986ms RTTVar: 0.326ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 105.634ms RTTVar: 9.85ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 109.79ms RTTVar: 15.699ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 107.454ms RTTVar: 11.32ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:37 RTT: 114.127ms RTTVar: 15.852ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 116.723ms RTTVar: 20.012ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 112.436ms RTTVar: 18.007ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 111.798ms RTTVar: 14.203ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 113.325ms RTTVar: 15.818ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 109.621ms RTTVar: 12.951ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 112.607ms RTTVar: 14.6ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 117.283ms RTTVar: 15.645ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:38 RTT: 110.099ms RTTVar: 12.249ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 111.86ms RTTVar: 14.844ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 111.585ms RTTVar: 13.723ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 105.622ms RTTVar: 8.285ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 109.224ms RTTVar: 14.464ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 113.946ms RTTVar: 21.783ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 111.583ms RTTVar: 16.176ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 110.335ms RTTVar: 12.301ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:39 RTT: 114.063ms RTTVar: 16.683ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 116.305ms RTTVar: 20.675ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 112.097ms RTTVar: 18ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 118.988ms RTTVar: 22.187ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 119.183ms RTTVar: 19.84ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 111.605ms RTTVar: 13.127ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 115.233ms RTTVar: 17.103ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:02:40 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:02:40 RTT: 113.63ms RTTVar: 13.288ms CWND: 96 SSTHRESH: 56587
