[out#0/mpegts @ 0x118a1000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 

2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 100.637ms RTTVar: 0.194ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 105.324ms RTTVar: 9.143ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 110.053ms RTTVar: 16.949ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 111.565ms RTTVar: 14.252ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 111.916ms RTTVar: 13.337ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 111.51ms RTTVar: 13.792ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:18 RTT: 114.446ms RTTVar: 18.945ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 113.649ms RTTVar: 20.614ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 117.43ms RTTVar: 13.483ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 119.118ms RTTVar: 17.649ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 115.241ms RTTVar: 16.465ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 115.609ms RTTVar: 16.683ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 113.235ms RTTVar: 13.275ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 114.009ms RTTVar: 12.019ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:19 RTT: 110.696ms RTTVar: 10.659ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:20 RTT: 110.061ms RTTVar: 11.337ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:20 RTT: 117.509ms RTTVar: 19.262ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
