[out#0/mpegts @ 0x3fc73000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.999x

2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 103.992ms RTTVar: 5.862ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 102.637ms RTTVar: 3.624ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 105.75ms RTTVar: 5.987ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 109.278ms RTTVar: 12.966ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 112.437ms RTTVar: 17.805ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 115.253ms RTTVar: 17.846ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:19 RTT: 116.36ms RTTVar: 19.534ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 114.98ms RTTVar: 15.954ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 118.703ms RTTVar: 19.412ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 116.394ms RTTVar: 19.194ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 118.455ms RTTVar: 16.856ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 118.678ms RTTVar: 18.336ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 115.536ms RTTVar: 15.536ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 115.616ms RTTVar: 13.389ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:20 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:20 RTT: 118.444ms RTTVar: 13.05ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:21 RTT: 115.31ms RTTVar: 12.08ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:21 RTT: 112.762ms RTTVar: 11.541ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:21 RTT: 113.629ms RTTVar: 11.079ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:21 RTT: 109.454ms RTTVar: 8.602ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:21 RTT: 112.313ms RTTVar: 15.154ms CWND: 53 SSTHRESH: 56587
