[out#0/mpegts @ 0x8f82000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 

2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 107.559ms RTTVar: 5.046ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 104.23ms RTTVar: 4.646ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 102.549ms RTTVar: 3.124ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 101.309ms RTTVar: 1.03ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 101.154ms RTTVar: 0.511ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 101.08ms RTTVar: 0.307ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:33 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:33 RTT: 100.907ms RTTVar: 0.228ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:34 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:34 RTT: 100.951ms RTTVar: 0.494ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:34 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:34 RTT: 100.854ms RTTVar: 0.439ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:34 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:34 RTT: 100.755ms RTTVar: 0.3ms CWND: 71 SSTHRESH: 56587
