[out#0/mpegts @ 0x9aa5000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 

2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 111.267ms RTTVar: 8.484ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 107.717ms RTTVar: 8.457ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 109.814ms RTTVar: 9.131ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 106.143ms RTTVar: 7.686ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 103.999ms RTTVar: 5.277ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 108.003ms RTTVar: 6.123ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:44 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:44 RTT: 105.565ms RTTVar: 6.101ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 102.99ms RTTVar: 3.531ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 101.695ms RTTVar: 1.953ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 101.365ms RTTVar: 1.329ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 101.184ms RTTVar: 1.052ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 101.083ms RTTVar: 0.478ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 103.709ms RTTVar: 4.936ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 107.664ms RTTVar: 11.951ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:45 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:45 RTT: 109.652ms RTTVar: 14.284ms CWND: 73 SSTHRESH: 56587
